# dirname	from_assembly	to_assembly	dest_dir
sexton-2012	dm3	dm6	sexton-2012-dm6
vanBemmel-2010	dm2	dm3	vanBemmel-2010-dm3
vanBemmel-2010-dm3	dm3	dm6	vanBemmel-2010-dm3-dm6
hou-2012	dm3	dm6	hou-2012-dm6
wood-2011	dm3	dm6	wood-2011-dm6
jain-2015	dm3	dm6	jain-2015-dm6
dowen-2014-cohesin-chiapet	mm9	mm10	dowen-2014-cohesin-chiapet-mm10
sahlen-2015-hicap	mm9	mm10	sahlen-2015-hicap-mm10
schoenfelder-2015-capture-HiC	mm9	mm10	schoenfelder-2015-capture-HiC-mm10
soruco-2013	dm3	dm6	soruco-2013-dm6
alvarez-dominguez-2014	mm9	mm10	alvarez-dominguez-2014-mm10
filion-2010	dm3	dm6	filion-2010-dm6
